"","AEW541","Nilotinib","X17.AAG","PHA.665752","Lapatinib","Nutlin.3","AZD0530","PF2341066","L.685458","ZD.6474","Panobinostat","Sorafenib","Irinotecan","Topotecan","LBW242","PD.0325901","PD.0332991","Paclitaxel","AZD6244","PLX4720","RAF265","TAE684","TKI258","Erlotinib"
"NCIH1666",1.0145,0.456,4.712,0.2059,2.1425,0.4504,1.2167,0.806,0.3766,2.9569,3.9983,0.6144,3.2599,2.0451,1.3635,3.8767,0.1308,4.4421,3.1254,0.2637,1.8098,1.7936,0.5551,2.2235
"NCIH1650",0.4436,0.4834,4.5681,0.03316,1.0601,0.5891,1.9891,0.4561,0.6198,2.4608,3.4336,0.5556,NA,1.4616,0.366,0.0898,0.1289,4.3317,0.3713,0.3035,1.2499,0.8811,0.7558,1.3557
"NCIH2023",1.4571,0.612,3.4569,0.6195,0.3546,0.6613,0.4832,1.1931,0.03723,0.679,3.9486,0.006447,NA,2.1324,0.296,1.0669,0.6846,4.676,0.3972,0,0.8588,1.0811,0.9905,0.1764
"NCIH211",1.4213,0.9206,3.2255,0.3437,0.6736,0.1456,0.61,0.6209,0.6459,0.4266,5.3056,0.7736,3.8559,3.8351,1.6828,0.9559,0.7345,5.7354,0.6744,0.2859,1.3993,1.3403,1.1127,0.1121
"NCIH650",0.7852,0.1037,3.3292,0.5756,0.1778,0,0,0.389,0,0.861,3.4858,0.07339,NA,1.8313,0.5809,0.5376,0.1045,4.2852,0.5544,0.03584,1.4552,0.5029,0.5932,0.04207
"SNU423",0.1276,0.08987,2.0606,0.8206,0.2067,0.1352,0.04521,0.4193,0.5282,0.2162,3.1265,0.06403,NA,0.8919,0.7057,0.3718,0.5886,4.9445,0.3714,0.1018,0.6721,0.2347,0.3549,0
"NCIH1703",0.7496,NA,4.6215,1.254,0.3413,1.1218,1.9617,0.815,0.689,2.1679,3.2273,1.7395,NA,3.4943,1.6718,0.92,NA,6.0885,0.6057,0.9735,NA,1.7164,1.7113,0.5767
"NCIH747",1.5524,0.6162,4.1782,0.4446,0.5944,0.1082,1.2293,0.7988,0.1817,1.3901,4.788,0.5534,NA,2.1884,1.2307,4.5513,0.797,4.5944,3.9755,0.1485,0.9015,1.389,0.1588,0.8585
"SCC25",NA,NA,4.46,0.7471,1.1151,0.5353,1.1035,0.3788,0.1254,2.5074,NA,0.3316,NA,3.3078,1.593,1.3214,0.5614,6.8063,0.494,0.3717,1.4881,0.9235,0.5498,NA
"NCIH1693",1.1923,0.8682,1.6738,0.636,1.678,0.9088,1.4733,0.9907,0,1.8628,4.5178,0.4801,3.1318,3.0734,0.8193,2.3507,1.2313,3.8862,1.2609,0.1419,1.9118,1.4694,1.3123,1.42
