"","AEW541","Nilotinib","X17.AAG","PHA.665752","Lapatinib","Nutlin.3","AZD0530","PF2341066","L.685458","ZD.6474","Panobinostat","Sorafenib","Irinotecan","Topotecan","LBW242","PD.0325901","PD.0332991","Paclitaxel","AZD6244","PLX4720","RAF265","TAE684","TKI258","Erlotinib"
"NCIH28",1.0399,0.2426,3.0959,0.2016,1.1902,0.4339,1.327,0.5851,0.1084,1.7242,4.0381,0.1132,NA,1.549,0.2459,1.8972,0.7641,3.249,1.3218,0.161,1.0461,1.4364,0.3888,1.7382
"NCIH358",1.0482,0.4732,2.9418,0.1218,1.4357,0.3662,0.7506,0.8719,0.6911,1.6435,4.264,0.4633,NA,2.0796,0.7728,3.6668,0.5514,5.6597,2.4557,0.7734,1.9399,1.5223,1.3765,1.6179
"NCIH727",1.3035,0.5898,2.1313,0.1742,0.5375,0.4471,1.0985,1.1206,0.6485,1.3125,2.9172,0.2139,1.357,0.2574,0.2611,2.9449,0.315,1.9411,1.7299,0.1817,0.4526,1.3735,0.29,0.3191
"NCIH1299",1.2383,NA,3.5108,0.7558,0.2706,1.0899,1.4866,0.9098,0.4863,0.7984,3.6257,1.5557,NA,3.8423,1.249,2.7295,NA,5.549,3.1961,0.5758,2.203,1.9109,1.2805,0.7121
"SAOS2",1.8071,1.0258,2.9737,0,0.5612,0.2842,1.2774,0.8489,0.4832,0.6431,4.3266,0.4878,3.7048,3.5564,0.3765,0.104,0.1887,6.0694,0.2236,0.2537,1.8359,1.6125,1.49,0.2072
"LS411N",1.3972,NA,4.496,0.8759,0.04328,0.0771,0.2772,0.3309,0.8172,0.6636,4.8202,0.1615,NA,3.1476,1.1581,4.9922,NA,5.834,4.2582,2.1759,1.4663,1.4321,0.6282,0.3804
"RKO",0.8444,0.5761,4.4812,0.47,0.302,0.6938,0.6394,0.9374,0.2558,0.876,4.4547,0.8653,3.213,3.5301,0.2353,3.2954,0.6835,6.6097,2.2005,0.9622,1.7043,1.6675,0.7962,0.06025
"RPMI7951",0.9825,NA,5.8391,0.7986,0.212,0.2262,0.8065,0.9346,0.217,1.2281,4.7622,0.1968,NA,3.4621,0.5193,1.5961,NA,6.9914,1.1178,0.54,1.3954,1.0404,0.6471,0.172
"WM115",0.1716,NA,3.7538,0.3838,0.1087,0.1188,0.04944,0,0.255,0.8184,3.3891,0.3239,NA,0.8829,1.8514,2.0602,NA,3.5617,1.5979,0.691,0.5653,0.07927,0.2933,0.1035
"NCIH2009",0.6894,0.237,3.6954,1.1969,0.3635,0.06515,1.094,0.5123,0.1486,1.504,5.2809,0,2.9776,2.1728,0.2909,2.6131,0.09706,4.9461,1.9691,0.4112,1.5606,1.2731,0.9052,0.6598
"NCIH2452",0.7924,0.2073,3.558,0.3236,0.2728,0.8552,1.0389,0.4166,0.4763,0.6913,3.5626,0.7511,3.7125,3.3382,0.8521,1.184,0.8849,5.6526,0.8245,0.7483,2.2147,1.2638,1.0808,0.7658
"UACC62",0.868,NA,4.5286,0.8429,0.565,1.1217,1.0493,0.7375,NA,0.6134,4.6762,0.398,NA,3.8193,0.913,4.916,NA,5.3255,3.9363,3.0249,2.0133,1.354,0.7377,0.6873
"UACC257",0.5798,NA,2.2128,0.2647,0.01452,0.4674,0.3102,0.1327,0.1982,0.9322,4.057,0.3558,NA,2.1144,0.2906,4.2295,NA,3.6187,2.9813,2.0796,1.2821,0.4377,0.3173,0
"KELLY",0.7389,NA,2.0176,0.4493,0.1516,0.203,0.499,0.7127,0.03601,0.5221,4.6979,0.4258,NA,3.7898,0.1127,0.9878,NA,4.7326,0.4287,0.2889,NA,1.6594,0.4625,0.2575
"NCIH661",1.0875,0.5492,1.1851,0.6622,0.3394,0.07728,0.5857,0.7048,0.1818,1.225,5.3017,0.1372,2.6998,0.9602,0.5897,0.2089,0.08016,2.5108,0.1862,0.3142,0.6757,0.8723,0.2489,0.09786
"MPP89",1.0837,0.6128,2.8561,0.06791,0.392,0.702,0.3467,0.9935,0.3831,0.8979,4.5306,0,2.5822,2.5565,0.439,0.6039,0.1568,4.6902,0.1261,0.06749,1.4205,1.9641,0.5424,0.2684
"NCIH2030",0.9753,0.3102,4.9167,0,1.2422,0.254,1.8416,0.4445,0.1499,1.7591,3.6894,0.5507,2.5802,4.0152,0.3874,2.026,0.1732,5.1832,1.0569,0.2542,2.3273,0.8499,0.973,1.2982
"COLO205",1.5025,0.6001,5.7504,0.5538,0.1875,0.9422,0.4195,1.3255,0.8434,1.0471,4.8613,1.204,NA,4.4189,0.6715,5.6956,0.9274,7.0778,4.57,3.1984,2.1484,2.9966,0.9085,0.6326
"REH",0.8788,0.577,3.0737,0.4732,0.4909,0.573,0.00713,0.8942,1.0459,0.08253,4.9712,0.4783,NA,4.3275,1.5628,0,0.7898,6.7887,0.04644,0.8706,NA,1.1366,1.3379,0.1718
"NCIH1792",1.1488,0.1523,4.2291,0,0.3039,0.679,0.3243,0.7983,0,0.8889,3.9704,0.3336,NA,1.7974,0.269,2.7425,0.4562,5.8456,0.7937,0.4574,1.9411,1.6733,1.1431,0.2512
"NCIH1355",0.9139,0.2995,2.7409,0.134,1.4545,1.3545,0.9871,1.1761,0.3069,0.7915,3.208,0.08526,NA,0.9215,0.2866,3.2706,1.143,4.4405,2.526,0.5632,2.1873,2.1361,0.8879,1.1241
"NCIH1048",0.798,0.4625,4.7653,0.1776,0.5777,0.1314,1.2751,0.7133,0.3058,1.2426,4.9662,0.6078,4.6028,5.3324,0.1353,0.6409,0.01538,6.7078,0.08808,0.0554,1.8268,1.9009,1.3784,0.662
"OE33",0.887,0.1666,4.7147,0.7694,1.3948,0.1788,1.5313,2.6605,0.1213,1.2065,4.8403,0.2001,4.2414,3.252,1.6295,1.8762,0.9013,4.8996,0.9345,0.4093,1.5374,1.8779,0.2963,0.842
"OVCAR8",0.6409,0.6021,4.0967,0.4074,1.0963,0.08894,1.0565,1.0091,0.2157,0.8507,5.1246,0.9127,4.2914,4.034,0.07678,1.0265,0,6.193,0.3024,0.1871,1.7808,0.7201,1.1174,0.532
"PANC1005",1.0935,0.2589,3.2431,0.2858,0.6474,0.4299,1.4284,0.975,0,1.2371,4.0085,0.7027,3.5233,3.3451,0,3.0873,0.1536,5.4204,2.0182,0.1674,0.7633,0.773,0.408,0.5347
"NCIH1915",0.4139,0.1953,5.2552,0.3796,0.1502,0.2402,1.1919,0.2831,0.0133,0.8455,4.8531,0.03571,3.1297,3.279,0.9189,3.546,0.5238,6.0863,2.2654,0.1486,2.7444,0.8856,1.0848,0.4244
"OCIAML2",1.1281,0.8493,4.2295,0.07766,0.1763,0.5748,0.2234,1.0041,0.2119,0.1919,5.3795,1.7042,4.2545,4.8885,0.02479,7.2797,1.6237,6.3485,5.9343,0.9367,1.8252,2.1811,1.4035,0.02743
"ONS76",0.2968,0.1742,1.904,0.01134,0.1084,0.3121,0.6145,0.2558,0.117,0.3671,3.9079,0.9837,2.7183,3.336,0.4631,4.1038,0.3628,NA,2.8866,0.1695,1.4977,0.3495,0.5648,0.06366
"RT112",2.1877,0.2699,4.3543,0.1706,0.7505,0.6725,1.0985,1.2498,0.02406,1.3419,4.9117,0.6547,3.78,4.3472,0.3585,3.0522,0.5327,6.9774,1.6626,0.02544,0.9746,2.9431,2.3504,0.3784
"NCIH1793",0.4367,0.1586,1.6359,0.08983,0.6214,0.6553,0.8634,0.04633,0,1.9546,NA,0.04823,NA,1.5681,0.4629,1.1635,0.7979,3.6008,1.1445,0.02881,1.0381,0.3799,0.6117,0.4024
"RERFGC1B",1.5338,0.08913,1.4162,0.3157,0.717,0.2647,2.1467,0.3046,0.03254,2.0009,4.1861,0.1891,NA,3.4388,0.1773,1.5846,0.01805,4.5754,1.7254,0.5411,0.4918,0.9959,0.7177,0.4351
"RVH421",0.329,0.2469,4.0161,0.2618,0.1602,0.7626,0,0.3367,0.1654,1.3958,4.0976,0,1.1385,1.22,0.1933,4.4939,1.0254,3.8473,2.5274,2.1201,1.518,0.3535,0.7289,0.05907
"PC14",1.5768,NA,4.4138,1.0704,1.6271,0.09898,3.3372,0.5781,1.3271,3.3291,4.1845,0.4259,NA,3.389,0.8567,1.4392,NA,6.7585,1.2008,0.3088,NA,1.7777,1.1328,3.7177
"NCIH1581",0.3412,0.7787,2.4837,0.5504,0.3271,0.1988,0.5944,0.6256,0.2333,0.8635,4.8627,0.106,NA,2.8858,0.7831,1.7867,0.7369,5.8733,1.2459,0.01726,0.665,0.6507,0.9622,0.04829
"OPM2",0.9333,0.3997,3.1534,0.6293,0.03488,0.1889,0.6917,0.2972,0.6987,0.1063,6.84,0.1978,4.3124,3.6358,0,1.3958,0,3.6015,0.4856,0.09389,0.09803,0.9299,0.2381,0.8885
"NCIH1092",0.5824,0.1775,1.0754,0,0.2613,0.06517,0,0.286,0.004055,0.3715,3.5793,0,3.195,2.8124,0,0,0,1.7118,0.4517,0.06505,0.6779,0,0.5458,0.06946
"NCIH1573",1.463,0.7619,3.9417,0.4783,1.6056,1.1259,1.3679,0.8412,0.08039,0.5696,4.0278,0.3309,NA,1.2867,0.3017,2.844,1.0384,4.4458,2.263,0.547,1.2461,1.1256,0.6435,1.4163
"RKN",0.3677,0.5959,2.4716,0.2649,0.06721,0.5138,0.5643,0.2581,0,1.0264,3.893,0.4223,3.0355,3.0453,0.201,3.0112,0.8942,5.3001,2.1173,0.1845,0.9769,0.3406,0.4719,0.1202
"PSN1",0.5187,NA,3.4967,0.7477,0.05786,0.2706,0.1458,0.04047,0.543,0.4477,4.1128,0.2279,NA,2.709,0.3796,3.0172,NA,5.7164,2.4693,0.07306,NA,0.8693,0.2996,0.2199
"NCIH1648",1.078,1.4162,1.8947,0.1418,1.8562,0.8649,0.2443,0.673,0.3297,0.817,4.1316,0.5777,NA,1.9441,1.6655,0.8604,0.9064,5.9981,1.076,0.9942,2.1058,1.1125,0.4882,0.6008
"OV90",0.8462,0.6314,4.5708,0.07258,0.3964,0.09546,0.2935,0.5705,0,0.4307,4.7692,0.4936,2.8504,2.9714,0.727,4.0762,0.072,3.4582,3.4602,0.1413,1.9905,2.2049,0.482,0
"NCIH1568",1.3221,0.6011,1.527,0.2685,0.918,0.7387,1.5767,1.035,0.6435,0.8584,4.3663,0.7917,NA,3.7898,1.4092,1.5472,1.0166,5.6099,1.2459,0.9667,2.3001,1.6053,0.7681,1.6905
"NCIH1944",0.2859,0,4.244,0.5487,0.2708,0,0.4428,0,0.24,1.6975,3.797,0.04412,NA,1.7644,0.339,1.4783,0.319,4.4533,1.3191,0.03804,0.3902,0.1488,0.1312,0.3705
"RD",1.6448,NA,4.2745,0.635,0.195,0.3467,0.8706,0.7359,0.3171,1.474,5.2349,0.4051,NA,2.7238,0.6438,2.6177,0.002948,5.9449,2.5031,0.1876,1.5202,1.4087,0.4683,0.1262
"PANC0327",0.6478,0.01959,4.3483,0.2903,0.7534,0.07107,0.9077,0.8512,0.5476,0.7822,3.6862,0.1145,3.4648,3.1664,2.2368,2.1915,0.03994,5.8073,1.2338,0.2345,2.1313,0.9404,0.2957,0.4879
"OC314",0.3713,0.03021,3.573,0.4256,0.3899,0.2438,0.5346,0.2361,0,0.8934,3.7559,0.0006212,NA,3.2347,0.2431,0.5158,0.3161,6.3589,0.09393,0.06317,1.5412,0.1058,0.6888,0.2903
"NCIH1155",0.7336,NA,3.8781,0.3567,0.3304,0.5254,1.4315,1.1355,0.6582,0.6619,4.6853,0.4457,NA,4.8723,1.0831,0.8311,NA,5.3744,0.1612,0.581,NA,1.5621,1.299,0.6025
"OE21",1.3307,0.8543,3.2699,0.3258,1.5609,0.4005,1.4609,1.1686,0.01683,1.9609,4.345,0.4841,2.8926,2.622,2.2086,2.3347,0.9908,6.2262,1.541,0.2198,1.8998,1.5289,0.9572,2.3549
"KYSE520",0.8652,0.6587,4.248,0.01816,1.037,0.2568,1.1904,0.2385,0,1.5278,3.219,0.4213,1.2647,1.2417,0.672,1.9066,0,5.3639,0.6335,0.2625,1.0794,1.0372,0.3085,1.2624
"KURAMOCHI",1.4503,1.27,2.2269,1.0637,1.5001,1.6904,2.0978,1.3399,0.6266,1.9356,3.8318,1.1985,2.4941,3.0771,0.4443,2.5424,0.9905,3.8522,2.0402,0.5705,1.5177,3.0662,1.2387,0.9836
"LOUNH91",0.3336,0.3538,2.6406,0.04844,0.1664,0.08353,0.8153,0.6149,0.1343,1.4031,3.4407,1.0337,3.9008,2.8967,0.9006,0.005301,0,6.1409,0.4429,1.1699,1.3319,1.7266,1.1322,1.0477
"GAMG",0.4895,NA,3.711,0.5998,0,0.332,0.2102,0.07498,0,0.4886,3.8201,0.1068,NA,1.2313,0.5262,0.3018,NA,5.015,0.2266,0.154,NA,0.1636,0.445,0.1358
"MFE319",0.7763,NA,2.5464,0.8592,1.5418,0.5247,2.3456,0.658,0.3238,1.3823,4.2531,0.3111,NA,2.5258,0.8158,1.4756,NA,6.2607,0.9563,0,NA,0.5841,1.2325,1.5436
"KLE",0.5976,0.5632,1.7971,0.7342,0.6419,0.9586,1.5831,0.7625,0.1714,1.6344,4.3321,0.6244,1.9354,1.4401,0.7563,1.1681,0.7329,2.7287,0.406,0.3276,1.1131,0.3371,0.898,0.7291
"LCLC103H",0.6313,0.1693,2.8339,0.8282,0.1241,0.1545,0.2668,0.06502,0.09609,1.4051,4.1846,0.4543,2.0636,2.2263,0.5048,0.16,0.1057,5.5755,0.5019,0.08282,1.366,0.8001,0.7523,0.26
"KYSE410",1.0965,0.5324,3.1735,0.704,1.1965,0.1933,1.2755,0.6978,0.1766,1.8618,4.147,0.2293,1.4083,0.9707,0.4363,1.0033,0.2584,3.8109,0.4508,0.09375,0.822,1.2969,0.2454,0.4664
"KP3",0.4973,0.4622,3.0933,0.008632,0.09769,0.8851,1.2097,0.4304,0,0.4319,3.5037,0.8425,1.5558,2.197,0.3274,1.7013,0.341,4.864,0.1945,0.5426,1.4921,1.3057,0.4566,0.2328
"L363",2.9187,1.9171,5.0957,2.1395,1.3522,0.7146,1.4398,2.4015,1.0836,0.791,6.2917,1.6377,4.9078,4.9954,3.4205,1.4584,2.7606,6.817,0.7485,0.9127,3.0544,3.8758,2.0685,1.0643
"LN229",1.2309,0.7352,4.0027,0.161,0.3739,0.8821,0.9273,0.8152,0.343,1.0302,3.9247,0.4278,NA,1.7406,0.2781,1.6776,0.6559,5.688,1.1769,0.1665,1.5223,1.6332,0.9104,0.4374
"FADU",0.5665,0.7939,5.1603,0.2629,1.9562,0.141,1.9008,0.4794,0.3693,1.9234,4.0829,0.05019,NA,3.2542,0.5883,2.2958,0.4639,4.7772,2.4745,0.2541,1.672,0.9511,1.2244,1.5452
"G401",2.2898,0.6602,4.5407,0.6015,0.4741,1.2915,0.983,1.1658,0.9484,1.2123,5.5697,1.2294,4.6555,4.0509,0.7225,2.1278,1.3601,6.559,1.9268,0.5567,2.3576,2.1525,1.5069,0.3828
"GI1",0.5457,NA,3.6972,0.4336,0.216,0.5693,0.5236,1.0878,0.2226,1.2145,4.6003,0.4663,NA,2.6126,0.4723,0.7663,NA,5.6551,0.6094,0.6865,NA,1.8359,0.7001,0.1787
"KYSE510",1.3086,NA,3.7623,0.6993,0.311,0.6075,0.348,0.1044,0.2331,0.2942,3.8037,0.6993,NA,4.2576,0.7552,0.04356,NA,6.5046,0.2195,0.4983,NA,0.5215,0.8546,0.3023
"KU812",0.3537,5.016,3.8223,0.3105,0.5306,0.1017,3.0717,1.7159,0,3.12,4.7085,0,2.7764,3.1619,0.9883,4.5708,0.7817,7.1048,3.3419,0.1505,2.0601,0,1.5403,0.5995
"KCL22",0.8817,5.6277,4.7185,1.9724,0.9807,0.644,3.2752,2.7737,1.3594,2.5777,5.8635,1.6803,4.4124,4.5702,1.2877,3.6923,1.2449,7.0551,3.1959,0.3954,2.4167,2.1484,1.5281,0.6935
"LN18",1.4906,0.4477,5.1669,1.2814,0.369,0.1367,0.7022,1.6642,0.5255,NA,4.2477,0.4215,2.4904,3.3191,1.2075,0.7033,0.05377,5.1481,0.2497,NA,1.8471,1.3576,1.2562,0.3233
"FU97",0.9502,NA,4.4951,0.806,0.3622,0.2397,1.3435,0.2194,0.401,1.5508,5.2069,1.0666,NA,1.564,0.4887,1.9272,NA,4.4367,1.0491,0.6619,1.4073,1.3489,1.7745,0.3636
"GCT",1.3274,0.5817,3.4082,1.8311,0.756,0.1651,1.1414,1.1702,0.5029,1.2443,4.6095,0.497,4.69,4.6049,2.3182,2.0909,0.9603,6.5265,1.3028,1.5137,2.8929,2.0993,1.2355,0.6055
"MFE280",0.5249,0.3222,3.2444,0.1629,0.8911,0.3682,0.7199,0.46,0.2754,1.5907,4.9023,0.4915,2.0817,2.3197,0.1119,1.4506,0.4306,3.8856,0.5816,0.1392,1.5917,0.6407,1.2541,0.9432
"KMRC1",1.1574,0.1906,2.7651,0.3043,0.4486,0.834,1.6644,0.4754,0.7012,1.5469,3.2386,0.337,2.3962,2.4108,0.1215,1.5562,0.7256,4.304,0.703,0.2211,1.3821,0.8743,1.2307,0.8457
"LS513",2.5798,1.4159,4.3214,1.4464,2.1057,1.4657,0.9041,0.6926,0.8321,1.7525,5.166,0.9539,2.7359,4.0027,0.3439,4.8546,1.3037,4.8331,2.6515,0.2252,2.0386,2.7267,1.9045,1.5967
"KYSE70",2.1382,NA,4.2296,0.7026,1.3543,0.7199,1.6009,0.6366,NA,1.4575,4.5453,0.6312,NA,3.081,0.5985,2.7093,NA,5.5901,1.3876,0.7607,NA,1.3801,1.5309,1.3994
"KYSE140",1.627,NA,1.6901,1.2101,2.2679,0.2324,1.8523,0.385,NA,1.284,3.5643,0.1106,NA,2.3975,0.7395,1.9335,NA,3.5397,0.1921,0.4187,NA,0.808,1.4472,2.1105
"KALS1",0.4127,0.2728,3.853,0.2795,0.5346,0.5073,1.1537,0.7377,0.2999,1.3023,3.7029,0.1169,2.2827,2.841,0.7127,2.4758,0.7226,6.0363,1.2031,0.615,2.2201,1.3825,0.6178,0.3822
"LS123",0.8263,0.5402,2.3211,0.2806,0.4413,0.08035,0.9965,0.7037,0.09287,1.5768,4.5721,0.1955,NA,1.307,0.4231,1.5646,0,2.9985,1.76,0.5484,0.8473,1.0933,0.3334,0.4793
"GCIY",0.7879,0.8356,2.1792,0.04114,0.8684,0.4031,1.2041,0.4585,0,1.6699,4.2403,0.2187,NA,1.9017,0.7082,1.2638,0.2167,4.0593,0.06857,0,0.5924,1.487,0.3855,0.9732
"G402",0.4365,NA,4.4662,0.8114,0.2117,1.068,1.4516,0.6586,0.008315,0.485,3.8386,1.1492,NA,4.218,0.3804,0.689,NA,5.9752,0.06311,0.1487,1.6359,0.6709,1.3881,0
"MELHO",1.3099,0.654,2.0796,0.01668,0.6978,0.2398,0.9185,0.868,0.1198,1.7294,5.0633,0.7755,3.5391,2.6133,0.4954,5.1399,0.2735,4.24,3.391,2.9418,2.1681,1.4747,0.9921,0.49
"KYSE150",0.4188,NA,3.8432,0,0.5937,0.2893,0.3552,0.267,0.2318,0.8659,3.4319,0.08508,NA,1.5052,0.6142,0.5862,NA,4.5075,0.08227,0.1422,0.8829,0.4303,0.5562,0.7703
"GB1",0.8205,0.256,2.3449,0,0.2394,0.2416,1.0036,0.7245,0.1654,1.0373,4.0893,1.0509,4.2248,4.8979,0.1936,2.272,0.3521,4.6277,0.6831,0.845,2.6337,1.6221,1.5132,0.4303
"U118MG",0.5336,0.04546,3.4405,0,0.04566,0.2094,0.1566,0.4299,0.03038,0.8528,4.1269,0.2384,3.0109,2.8569,0.8719,0.3997,0.3849,4.7636,0.1341,0.09208,1.1127,1.1033,0.712,0.05681
"TE1",0.8829,NA,3.9523,0.6178,0.7076,0.4281,1.0441,0.4085,0.08494,0.756,5.0321,0.2454,NA,2.8467,0.533,1.0105,NA,4.1517,1.114,0.3786,NA,1.3627,0.7009,0.8417
"SCC9",1.2564,NA,4.7346,1.1941,1.1401,0.1992,1.3741,0.4683,0.2541,2.7298,5.3576,0.2901,NA,2.3581,1.1435,2.6857,NA,5.2099,1.6772,0.2032,1.5306,0.4782,0.7652,2.1038
"SNU182",0.6863,0.2845,2.0055,1.2067,0.1451,0.2442,0.943,0.2485,0.1374,0.9908,4.3852,0.04995,NA,1.3273,0.2302,1.3371,0.4209,4.6237,1.7,0.3584,0.837,1.0013,0.3053,0.9051
"SKNSH",2.7443,1.0504,3.3319,0.5025,0.5023,1.3029,1.0388,1.827,0.2392,1.1326,5.1937,1.011,NA,2.8988,0.9145,1.1063,1.0097,4.8643,0.5364,0.8964,1.9759,3.3946,1.2916,0.5904
"TE9",1.0772,0.6286,4.2666,0.1003,1.265,0.4344,1.9496,0.3303,0.7058,1.2997,4.0263,0.6806,3.8206,4.0447,0.4993,0.9762,0.0816,6.6468,0.8854,0.4148,1.3055,1.8908,0.8313,0.9259
"SNU449",0.8843,0.278,1.5499,0.05912,0.1797,0.4246,0.6314,0.2711,0,1.1332,3.3569,0.5036,1.6665,1.3044,0.4588,0.7212,0,1.808,0.2108,0.3743,0.8266,0.3874,0.2176,0.3379
"SKNFI",2.0128,NA,2.6195,0.7685,0.3646,0.4112,1.3394,0.4837,1.0696,1.5356,4.3873,0.5742,NA,1.3133,0.6466,1.9218,NA,3.4138,1.8228,0.2167,1.5365,2.8196,0.7739,0.4157
"TOV21G",0.4566,0.1506,3.9631,0.3605,0.5477,0.3815,1.6485,0.415,0.2344,0.9598,3.7608,1.0759,2.6233,2.732,0.9197,1.3425,0.1943,5.0367,1.2785,0.6667,3.3561,1.3244,1.7314,0.8857
"SKHEP1",0.8338,0.1774,1.9799,0.005834,0.1027,0.8066,0,0.3791,0,0.2105,3.5627,0.3457,1.9584,1.9181,0.3588,1.683,0.3311,4.968,1.2855,0.4923,2.3493,0.4886,1.1864,0.3647
"YKG1",0.5376,0.4998,2.8308,0.0179,0,0.1102,1.6499,0.5306,0.5167,0.4073,4.1169,0.2007,1.8817,1.3881,0.5146,0.8524,0.672,5.5701,0.8278,0.241,NA,0.7847,0.6228,0.07841
"SNU475",1.4655,NA,3.9646,1.0051,0.8682,0.8932,0.6638,0.7115,0.4492,0.6495,3.7899,1.0406,NA,2.5168,2.3149,0.9657,NA,5,0.9279,0.6943,1.972,0.914,1.0832,0.6863
"SKOV3",0.5344,0.1564,2.3103,0.1467,0.8272,0.5764,1.1181,0.02451,0,0.9297,3.3944,0.4214,2.4994,2.0795,2.6683,0.519,0.06216,5.0501,0.334,0.3349,1.9759,0.7187,0.7958,0.6147
"TE11",1.7103,NA,3.3987,0.7925,2.2305,1.2078,1.9288,0.9517,NA,NA,3.5976,0.5301,NA,4.7553,0.7138,1.4826,NA,7.3115,0.3205,NA,NA,1.9404,1.6287,2.0088
"SUDHL8",1.6451,1.3969,4.1173,1.3604,0.9553,0.7898,1.196,1.3599,1.2041,1.6841,6.3157,1.6194,5.546,5.4439,1.3083,1.5111,2.4264,6.7813,1.5696,1.6986,1.7772,1.7707,1.2434,0.689
"SKMEL24",1.1943,0.5484,3.5284,0.2063,0.3248,0.3876,0.514,0.3011,0,0.8517,3.9406,0.06075,2.8192,1.972,0.795,2.8012,0.1802,3.0234,2.0305,1.0325,1.1696,1.0744,0.339,0.1272
"T24",0.7722,0.1709,3.6966,0.4776,0.416,0.8099,1.5531,0.9083,0.424,1.8852,4.441,0.5063,4.5191,3.6724,0.6445,2.6029,0.5323,5.7734,1.535,0.9257,2.9719,1.8013,1.8003,0.8934
"MCF7",1.7882,0.1241,2.2316,0,0.4242,0.06679,0.03456,0.502,0.02904,0.2155,NA,0,1.7724,0.9251,0.2945,0.3616,0.1991,3.7399,0.5816,0.5813,0.01511,1.5781,0.3718,0.3573
"UMUC3",0.065,0.1194,3.2913,0.1439,0,0.2972,0.706,0.1958,0,0.9404,3.3849,0.2574,2.6212,2.4369,0.5511,0.9588,0.3181,5.4626,0.5331,0.2678,0.4746,0.2892,0.3319,0
"SW1990",1.0457,0.7679,3.9558,0.06233,0.8197,1.2615,1.3081,1.0859,0.02302,0.6381,3.6605,0.06581,NA,4.2077,0.1944,2.9671,0.3129,4.7138,1.5884,0.6876,1.7576,1.7119,0.8337,0.5871
"T47D",0.924,0.5094,1.4674,0.3123,0.5727,0.4176,0.5592,0.3487,0.4164,0.3955,4.3607,0.427,NA,1.9885,0.9794,0.004786,0.5315,3.3375,0.6917,0.04939,1.4747,0.3381,0.4691,0.1791
"TE5",0.4191,NA,3.0955,0.3795,0.486,0.3958,0.5912,0.2186,0,0.6572,3.463,0.2589,NA,3.692,0.7896,0.753,NA,5.4258,0.6396,0.06209,NA,0.2672,0.4487,0.23
"SNU387",1.0149,NA,3.05,1.5203,0.8222,0.9645,1.0306,0.8758,0.4401,0.6723,3.7306,0.7339,NA,1.0026,0.8547,0.8845,NA,4.7368,0.4998,1.2764,NA,0.8824,0.3967,0.8118
"T98G",1.137,0.4823,2.537,0.05954,0.3194,0.5323,1.4143,0.238,0.02585,1.1189,2.8925,1.0637,0.8403,1.2564,0.2173,0.8449,0.4777,4.9955,0.8136,0.6113,1.4113,1.2075,1.8327,0.5313
"MC116",0.2977,0,3.4533,0.3541,0.0505,0.2049,0.09845,0.1444,0.1277,0.9237,3.7751,0.5503,NA,4.4146,0.2117,0.1658,0.7225,6.476,0,0.04864,0.0784,0.1041,0.096,0.0005163
"U87MG",0.3154,0.2714,3.4931,0.443,0.5471,0.4944,0.03487,0.8907,0.002326,0.2363,3.4181,0.2031,1.4987,1.6427,0.2053,1.3091,0.6737,4.303,0.4738,0.02147,1.4162,0.5188,0.477,0.07387
"TCCSUP",0.1999,0.3292,4.4105,0.5486,0,0,0.08578,0.1913,0,0.1873,4.3885,0.01622,2.4115,2.2101,0.2682,0.1675,0.168,5.7387,0,0.1503,0.7076,0.9076,0.6665,0.06454
"SUDHL10",1.0192,0.3176,3.8928,0.06698,0.7992,0.0689,0.4912,0.8983,1.2785,1.9595,5.3984,0.01542,3.1957,4.0743,0.186,1.8426,1.3344,7.2354,0.4243,0,0.838,1.2132,1.3126,0.06596
"T84",1.1858,0.7187,2.5327,0.4742,0.2998,1.0549,1.0293,0.8613,0.5854,1.563,3.9686,0.614,2.2281,1.1731,0.3676,2.1085,0.8757,4.1065,1.568,0.5119,0.8543,2.3855,0.007705,1.0015
"CHP212",2.0767,NA,5.2114,0.86,0.4609,1.1585,2.3748,1.0766,0.7484,1.6859,5.65,0.5689,NA,3.3596,2.0844,5.6249,NA,5.9257,5.5723,0.3921,1.0626,2.3225,0.6549,0.4165
"DKMG",0.3032,0,2.603,0.3604,0.2054,0.4608,0.3462,0.7844,0,0.6306,3.8051,0.04339,1.8847,1.5358,0.1664,1.3384,0.5503,5.3135,1.1426,0,1.3524,0.4276,0.7372,0.1756
"COLO679",0.9348,0.5391,3.984,0.486,0,0.6993,0.1354,0.4152,0.3375,0.311,4.6206,0.4606,2.1461,2.2206,0.1373,4.7338,0.4765,4.5201,3.3142,2.2166,2.4244,0.853,0.6854,0.4867
"CAL78",1.2703,0.5266,4.3291,0.3361,0.4327,0.0222,0.6972,0.8664,0.7571,0.305,4.6055,0.301,2.9043,3.1338,0.7028,0.1878,0.1654,5.5828,0.149,0.359,1.7244,1.4006,1.7102,0.6947
"EM2",1.1647,6.0634,4.667,0.9357,0.3354,0.9154,4.2714,3.0185,2.0652,3.3257,5.6418,1.7046,5.2348,5.2851,1.0611,4.5392,1.5487,7.0443,3.654,1.0564,2.7795,2.3065,1.6864,0.8905
"A375",1.4484,0.521,3.5625,0.4121,0.1527,0.4491,0.9057,0.7175,0.02134,0.8069,4.6373,0.6118,3.9345,3.2038,0.09724,4.8148,0.1961,6.0932,3.2996,2.9645,2.2543,1.8735,1.0899,0.2889
